repost_id,post_id,user_id,repost_time,like_num,comment_num,repost_num,repost_content
x9PsmnPFFzXJehff,363SOE9elOwaQxl7,Pt7zdYyrtFSEOzIw,297157,0,0,0,地域黑在东北不好使
pOWRvWzN7okt8XEl,363SOE9elOwaQxl7,lUWF6sJrF1Z9p5wA,17708,0,0,0,     
xVTGGrBu8ziIA3HE,363SOE9elOwaQxl7,hgmyUOf-4QBMq0yR,3585,0,0,0,
h32LYubr3H15Ga7J,363SOE9elOwaQxl7,IAY80dit2DPjg6pw,539,0,0,0,这就是东北人贼尿性
dd6-h5OrXBpIgeae,363SOE9elOwaQxl7,krg3vFFJ7OmkjDsa,403,0,0,0, 那个南方人只是动嘴，没有动手。不像一些北方人话没说两句就开始动手打人，而且专门往人头上脸上打，容易致人伤残。 把你这种人拉进黑名单我都嫌脏我的微博我的手，不爱在评论里回复你，只能这样回复你，野蛮的北方垃圾。 还有一条，南方人身体相对比较弱，经不起
uoYr8XghS4Rr1qyE,363SOE9elOwaQxl7,krg3vFFJ7OmkjDsa,401,0,0,0, （我们国家现在不应该鼓励人去东北旅
bQQydAMvjvcHqxvf,363SOE9elOwaQxl7,p4KcKdt8_08iEUfS,324,0,0,0,妈的智障
bnju6a0CNF0mSDM8,363SOE9elOwaQxl7,s57F6iNG8gHYu3Pr,111,0,0,0,入乡随俗。
pox9qSyuxqxvKDoB,363SOE9elOwaQxl7,YkhW-0c8NEXL_xhG,64,0,0,0,哈哈哈哈这不找事嘛
gB8B-9_7lVF80lMb,363SOE9elOwaQxl7,iiUQiscPZZN14B8u,29,0,0,0,
SWPyRMMm60gpSncw,363SOE9elOwaQxl7,adNOJ8oL5MKNlGMx,19,0,0,0,大爷也不是惯孩子人呐
fGbR2CzaBc0Zzzxq,363SOE9elOwaQxl7,MHdbBzmnjs08tjgT,13,0,0,0,有点舒适了…
lIBJsnluSP5ok5wJ,363SOE9elOwaQxl7,K2SUZ0Mkaon4ITcS,2,0,0,0,
JY7AWLbCLRvq0sph,lUS1X95LU55_64LV,v1-INTsydq54uwfN,2889811,0,0,0,我遇到的情感博主全都拉黑了，无差别拉黑
ytKf3a4XsOCUNdmE,lUS1X95LU55_64LV,_pXuP4k8FpZ1CC00,84,0,0,0,
RhMjvkW-BCXTs7up,lUS1X95LU55_64LV,lPsEjx7Bt6Mr55L7,8,0,0,0,
uuAOsM9gKTiJrTKe,VB5K7lxZXBUnCrf1,vA60jLOCE4j2XHJV,317,0,0,0,哈哈哈哈哈太认同了本身针对某些时事对地域调侃就不针对人总有那么几个玻璃心弱智能被这种跟他不相关的扎到痛
db7VAyiMq4AKR7ZN,VB5K7lxZXBUnCrf1,1fuJrzWXvRxL_eVF,103,0,0,0, 我没见过你这么精致的河南人，简直是河南人里的上海人。 我就没见过你这么不精致的上海人，简直是上海人里的河南人
C6QwF8yO8HpbonjT,VB5K7lxZXBUnCrf1,Paw06pxF6lvX5o9s,101,0,0,0,
DmUGbtg1vwUMwIpB,VB5K7lxZXBUnCrf1,Mys__VLeMhY4s3Hw,97,0,0,0, 我没见过你这么精致的河南人，简直是河南人里的上海人。 我就没见过你这么不精致的上海人，简直是上海人里的河南人
EjyiZjBSFekxXQmh,VB5K7lxZXBUnCrf1,frVks3EzH0wZed2j,63,0,0,0,哈哈哈哈哈哈哈，埋汰谁呢！ 我没见过你这么精致的河南人，简直是河南人里的上海人。 我就没见过你这么不精致的上海人，简直是上海人里的河南人
zt0muLZdBbd_Z38K,VB5K7lxZXBUnCrf1,saTX4OKWwrTLDMXp,58,73,17,7,我没见过你这么精致的河南人，简直是河南人里的上海人。 我就没见过你这么不精致的上海人，简直是上海人里的河南人
VNqXGIsZihhKA-Fj,VB5K7lxZXBUnCrf1,eS54PuQwkvHKp-L_,32,0,0,0,最讨厌吃鸡开语音，学我天津话，有这么搞笑么
cMpxhFrtu1JYMupZ,VB5K7lxZXBUnCrf1,Na5jMbQtdqMor7VN,10,0,0,0,武汉先黑为敬
zBg-gYLTw4_emSrT,VB5K7lxZXBUnCrf1,K7kJy0FAG-fEQ8qm,7,0,0,0,
R1C6LoOYcKqxiVLC,VB5K7lxZXBUnCrf1,1a0UdVQ4raYmFWyg,1,1,0,0,说起这个……作为东北人……我黑起东北来比任何人都要强烈。
ooviQpjwymiOrRLi,VB5K7lxZXBUnCrf1,X6j6p9kkhN6ULG0_,1,0,0,0,
hNboefJnZBg_1zjN,4NNAEikXQxVq9IVW,v6a8gC8GTBPNLDnS,45121,0,0,0,啊！m ? yjjznhnjjujnnjnjuuunnjjjjjjnnjuj
a0CFEqLZjdPgYML7,4NNAEikXQxVq9IVW,hQ_3pSzlIItJ2Ba7,517,0,0,0,
J4a1XXdqLjPlbiRX,4NNAEikXQxVq9IVW,j2AT8HCl9_lgF3L-,513,0,0,0,
gLSgKlZ3A1_2xnev,4NNAEikXQxVq9IVW,gEURc6WRFiFEaiLW,510,0,0,0,
uI7_2JjKoQ9hJo4E,4NNAEikXQxVq9IVW,qTp529eW4BslFLXb,503,0,0,0,
B_G9aGi6fi88QdCm,4NNAEikXQxVq9IVW,1Wb4dnLYksfNx4x5,416,0,0,0,
8bD4Y_lpwRvAT5MO,4NNAEikXQxVq9IVW,w_-OUo8_XyexP0Hk,386,0,0,0,
6AJKtbWA8GDyeIC_,4NNAEikXQxVq9IVW,MV-gwmbhgLkbN-rb,378,0,0,0,
-iVZD8Q9OMJyXRju,4NNAEikXQxVq9IVW,WfXKpFH5_6Q5lPO_,377,0,0,0,66岁
az-e1kvg61x8upit,4NNAEikXQxVq9IVW,-xiYyYav2uphoNxv,341,0,0,0,
cU24tlLZwea81XFu,4NNAEikXQxVq9IVW,yaOBf8qxqyQoHxVg,335,0,0,0,
etbpKAAkJEDPJBmZ,4NNAEikXQxVq9IVW,ooGLYmsuuwDpYv3L,329,0,0,0,让他滚😡很恶心的一个人
zDhSHOdxuI-XAYlb,4NNAEikXQxVq9IVW,W6k8GB9GAMBN-Pl9,326,0,0,0,
eyaquInU9Thd1VtW,4NNAEikXQxVq9IVW,W7LT0scJpP1eR-yy,320,0,0,0,
5mJT7r8VvbQg86jc,4NNAEikXQxVq9IVW,aV5re4WKYucx5dQs,311,0,0,0,
mrxAyuXgH67cRYm7,4NNAEikXQxVq9IVW,PE6wZpg0S62QXerg,304,2,0,0,从东京奥组委主席森喜朗引咎辞职，到桥本圣子继任奥组委主席，再到这件新闻，性别平等的观念在东京奥运会已经越来越重要了。期待7月东京奥运会顺利开幕
